SectionNr	StepNr	Nr	Punkt	Erklaerung
2	3	2	Codierungen und Umgang mit fehlenden Werten festgelegt	Was bedeutet ein leeres Feld: nicht erhoben, nicht zutreffend oder nicht bekannt? Diese drei sind nicht dasselbe.
2	3	3	Probelauf mit drei Fällen	Der billigste Qualitätsschritt im ganzen Projekt. Fast immer findet sich dabei eine unklare Definition.
2	3	4	Ablage und Sicherung eingerichtet	Wo liegen die Daten, wer hat Zugriff, wie oft wird gesichert? Kurz aufschreiben, nicht nur einrichten.
3	1	1	Erhebung begonnen, Startdatum notiert	Ab hier läuft die Uhr des längsten Abschnitts.
3	1	2	Feste Zeitfenster eingeplant	Lieber zwei Stunden wöchentlich als ein Tag im Monat. Erhebung, die nur in Lücken passiert, kommt nicht voran.
3	1	3	Erste zehn bis zwanzig Fälle erfasst	Der wichtigste Zwischenstand. Danach einmal gründlich hinsehen, bevor es weitergeht.
3	1	4	Erfassung läuft nach Plan	Bei Rückstand früh melden — eine Verlängerung ist einfacher zu bekommen als eine Notlösung.
3	1	5	Abweichungen vom Protokoll dokumentiert	Jede Abweichung sofort notieren. Nach vier Wochen erinnert sie niemand mehr, und sie fehlt später im Methodenteil.
3	2	1	Stichprobenprüfung nach den ersten Fällen	Zehn Fälle noch einmal unabhängig durchsehen. Der wirksamste Einzelschritt des Abschnitts.
3	2	2	Plausibilitätsprüfungen eingerichtet	Wertebereiche, unmögliche Kombinationen, Datumslogik. Einmal eingerichtet, läuft es mit.
3	2	3	Offene Fragen und Unklarheiten gesammelt	Eine laufende Liste statt einzelner Zettel. Am Ende ist sie die Grundlage der Bereinigung.
3	2	4	Zwischenstand mit der Betreuung besprochen	Einmal in der Mitte, nicht erst am Ende. Was hier auffällt, ist noch korrigierbar.
4	1	1	Offene Fragen aus der Erhebung abgearbeitet	Die Liste aus dem Sammeln durchgehen und jeden Punkt entscheiden — auch wenn die Entscheidung lautet: bleibt unklar.
4	1	2	Plausibilitätsprüfung über den gesamten Datensatz	Jetzt über alle Fälle, nicht nur über Stichproben.
4	1	3	Korrekturen protokolliert	Was wurde geändert, warum, von wem? Ohne dieses Protokoll ist der Datensatz später nicht überprüfbar.
4	1	4	Datenstand festgehalten und benannt	Kopie mit Datum ablegen, die nicht mehr angefasst wird. Alle Ergebnisse beziehen sich ab jetzt auf genau diesen Stand.
4	2	1	Geplante Auswertungen gerechnet	Die aus dem Auswertungsplan, in der dort festgelegten Form.
4	2	2	Zusätzliche Auswertungen als solche gekennzeichnet	Explorative Ergebnisse sind wertvoll, solange sie benannt sind. Als geplant dargestellt, sind sie ein Kritikpunkt in der Begutachtung.
4	2	3	Abweichungen vom Auswertungsplan begründet	Abweichen ist zulässig. Verschweigen nicht.
4	2	4	Ergebnisartefakte abgelegt	Tabellen, Abbildungen, Rechenskripte — beim Datenstand, auf den sie sich beziehen.
4	2	5	Ergebnisse mit der Betreuung besprochen	Bevor der Text entsteht. Eine falsch verstandene Zahl kostet im Manuskript deutlich mehr.
4	2	6	Kurzes Auswertungsmemo geschrieben	Was wurde gerechnet, was kam heraus, was ist einschränkend. Zwei Seiten, die den Ergebnisteil vorbereiten.
5	1	1	Autorenreihenfolge geklärt und schriftlich festgehalten	Vor dem ersten Absatz. Später wird dieses Gespräch nicht einfacher, sondern schwieriger.
5	1	2	Zieljournal ausgewählt	Umfang, Aufbau und Format unterscheiden sich stärker als erwartet. Nachträgliches Umbauen kostet mehr als die Auswahl.
5	1	3	Zwei Alternativjournale festgelegt	Damit die Entscheidung nach einer Ablehnung schon getroffen ist und keine Wochen kostet.
5	1	4	Rohfassung vollständig	Alle Abschnitte vorhanden, auch wenn noch grob. Vollständig schlägt schön.
5	1	5	Internes Review durch alle Co-Autoren	Mit Frist. Ohne Frist dauert diese Runde erfahrungsgemäß am längsten von allen.
5	1	6	Anweisungen des Journals abgearbeitet	Formatvorgaben, Wortzahl, Meldebogen, Erklärungen. Formfehler kosten Tage, bevor überhaupt jemand liest.
5	2	1	Eingereicht, Datum und Vorgangsnummer notiert	Ab hier liegt der Zeitplan nicht mehr in Ihrer Hand.
5	2	2	Entscheidung eingetragen	Auch eine Ablehnung ist ein Ergebnis und gehört dokumentiert.
5	2	3	Bei Überarbeitung: jeder Punkt beantwortet	Auch der, den Sie für unberechtigt halten. Eine Antwort darf widersprechen, aber sie darf nicht fehlen.
5	2	4	Bei Ablehnung: innerhalb von zwei Wochen neu eingereicht	Der häufigste Grund, warum fertige Arbeiten nie erscheinen, ist Liegenbleiben.
5	3	1	Daten und Unterlagen geordnet abgelegt	So, dass eine fremde Person in zwei Jahren nachvollziehen kann, was passiert ist.
5	3	2	Drei Sätze: besser, schlechter, anders	Was lief besser als erwartet, was schlechter, was würden Sie anders machen. Mehr braucht es nicht.
5	3	3	Erkenntnisse in die Wissensschicht eingetragen	Wiederkehrende Stolpersteine hier ergänzen — dann hilft diese Erfahrung dem nächsten Projekt.
